시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
용산구,11170000205,용산캐슬어린이집,국공립,정상,04317,"서울특별시 용산구 백범로 313 키즈클럽(효창동,롯데캐슬센터포레)",02-712-7942,02-712-7943,,3,171,1,8,10,24,24,37.53981745015118,126.96307358592341,미운영,2020-02-04,,,,2026-07-01,야간연장형,2,1,0,0,0,0,3,0,0,6,6,5,0,0,0,0,13,0,0,24,14,57,14,14,0,1,7,0,0,0,0,0,1,0,10,2026-07-01 10:32:25.0,11030580,효창동,11030,용산구
용산구,11170000204,해늘어린이집,국공립,정상,04381,"서울특별시 용산구 이촌로34길 29 이촌동, 현대한강아파트 관리동",02-711-7847,,,5,82,0,9,13,31,30,37.5236368943,126.9566639649,미운영,2018-09-01,,,,2026-07-01,일반,4,2,2,0,0,0,0,0,0,8,8,10,12,0,0,0,0,0,0,30,50,30,20,0,0,1,10,0,0,0,0,0,1,0,13,2026-07-01 10:32:25.0,11030640,이촌2동,11030,용산구
용산구,11170000203,동부이촌어린이집,국공립,정상,04421,서울특별시 용산구 이촌로 193 관리동 1층,02-797-7857,02-790-7857,,3,59,0,4,11,22,22,37.5215935377,126.9683936564,미운영,2018-09-01,,,,2026-07-01,일반,3,1,1,0,0,0,1,0,0,6,6,5,7,0,0,0,4,0,0,22,13,13,63,13,0,1,8,0,0,0,0,0,1,0,11,2026-07-01 10:32:25.0,11030630,이촌1동,11030,용산구
용산구,11170000202,작은별어린이집,가정,폐지,04311,서울특별시 용산구 효창원로93길 12 1층,02-6367-0707,02-6261-0867,,2,52,0,6,0,15,0,37.5485354469,126.9628418282,미운영,2018-04-26,,,2022-03-01,2026-04-16,일반,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030580,효창동,11030,용산구
용산구,11170000201,삼일어린이집,직장,정상,04378,"서울특별시 용산구 한강대로 95 B동 4층 410호(한강로2가,래미안용산)",02-794-8831,02-794-8830,www.puruni.com/samil,3,133,0,13,14,49,36,37.52954731337001,126.96739471952138,미운영,2018-04-25,,,,2026-07-01,일반,0,4,3,2,0,0,0,0,0,9,0,13,15,8,0,0,0,0,0,36,18,27,9,18,27,1,11,0,0,0,0,0,2,0,14,2026-07-01 10:32:25.0,11030730,한강로동,11030,용산구
용산구,11170000200,사랑꿈어린이집,국공립,정상,04368,서울특별시 용산구 원효로 216 관리동 1층,070-7767-6300,,,4,94,1,6,9,21,19,37.5367226428,126.9665271675,미운영,2018-03-16,,,,2026-07-01,일반,3,2,1,0,0,0,1,0,0,7,5,9,0,0,0,0,5,0,0,19,43,29,14,0,14,1,7,0,0,0,0,0,1,0,9,2026-07-01 10:32:25.0,11030720,원효로1동,11030,용산구
용산구,11170000199,사랑나무어린이집,가정,정상,04336,서울특별시 용산구 후암로 4-8 후암동,070-4090-2213,,,5,125,0,5,6,20,10,37.546353570092634,126.97881652121346,미운영,2018-03-05,,,,2026-07-01,야간연장형,1,0,1,1,0,0,3,0,0,6,0,0,0,6,0,0,4,0,0,10,20,0,0,0,80,1,4,0,0,0,0,0,0,0,6,2026-07-01 10:32:25.0,11030510,후암동,11030,용산구
용산구,11170000198,맑은숲어린이집,국공립,정상,04417,서울특별시 용산구 한남대로40길 76 맑은숲어린이집,02-798-3500,02-798-3501,,6,735,1,18,24,90,88,37.5450381635,127.0032951499,운영,2017-12-26,,,,2026-07-01,야간연장형,3,3,3,2,1,1,0,0,0,13,6,15,20,18,15,14,0,0,0,88,26,21,11,11,32,1,19,0,0,0,0,0,2,0,24,2026-07-01 10:32:25.0,11030740,한남동,11030,용산구
용산구,11170000197,아모레퍼시픽 서울어린이집,직장,정상,04386,서울특별시 용산구 한강대로 100 (주)아모레퍼시픽 2층,02-6040-5193,02-6040-5197,없음,6,305,1,36,30,94,74,37.5287908187,126.9686757151,미운영,2017-12-05,,,,2026-07-01,일반,0,9,7,4,0,0,0,1,0,21,0,24,28,22,0,0,0,0,0,74,17,4,44,17,17,1,23,0,0,1,0,0,2,0,30,2026-07-01 10:32:25.0,11030730,한강로동,11030,용산구
용산구,11170000195,꿈나무어린이집,국공립,정상,04316,서울특별시 용산구 원효로1가 백범로 329 꿈나무어린이집,02-706-2468,02-706-2467,,5,420,1,11,22,60,60,37.538396941434364,126.96579265701348,미운영,2017-12-01,,,,2026-07-01,장애아통합,4,3,2,1,0,0,0,2,2,14,8,14,13,10,0,0,0,9,6,60,28,28,28,0,17,1,18,0,0,0,0,0,1,0,22,2026-07-01 10:32:25.0,11030720,원효로1동,11030,용산구
용산구,11170000196,용문어린이집,국공립,정상,04363,서울특별시 용산구 효창원로 88 브라운스톤용산 104-103,02-711-3136,02-715-3136,,3,54,0,4,8,20,19,37.5364163,126.9591211,미운영,2017-11-01,,,,2026-07-01,일반,2,1,0,0,0,0,2,0,0,5,6,5,0,0,0,0,8,0,0,19,0,17,17,0,67,1,5,0,0,0,0,0,1,0,8,2026-07-01 10:32:25.0,11030590,용문동,11030,용산구
용산구,11170000192,새순어린이집,국공립,정상,04361,"서울특별시 용산구 원효로35길 37-7 1,2층",02-716-7930,02-717-7930,,3,130,1,9,10,40,21,37.5348941342334,126.95519141061648,미운영,2017-07-01,,,,2026-07-01,야간연장형,3,1,1,0,0,0,0,0,0,5,9,5,7,0,0,0,0,0,0,21,13,25,38,13,13,1,8,0,0,0,0,0,1,0,10,2026-07-01 10:32:25.0,11030570,원효로2동,11030,용산구
용산구,11170000194,위드어린이집,가정,폐지,04365,서울특별시 용산구 원효로4가 원효로 40 101-105,02-701-5554,02-701-5554,,3,53,0,4,0,20,0,37.53418053488569,126.94802858510799,미운영,2017-05-01,,,2019-03-04,2026-04-16,일반,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030570,원효로2동,11030,용산구
용산구,11170000193,늘봄어린이집,국공립,정상,04374,서울특별시 용산구 이촌로2가길 122 105동 106호,02-702-2522,02-702-2523,,3,59,0,5,9,20,19,37.5250472,126.9551678,미운영,2017-04-14,,,,2026-07-01,일반,2,2,1,0,0,0,0,0,0,5,5,9,5,0,0,0,0,0,0,19,0,33,33,33,0,1,6,0,0,0,0,0,1,0,9,2026-07-01 10:32:25.0,11030640,이촌2동,11030,용산구
용산구,11170000191,새둥지어린이집,가정,정상,04422,서울특별시 용산구 이촌로65가길 3 110동 101호,02-796-5025,02-796-5024,,4,81,0,6,7,20,17,37.5223116372,126.9719635243,미운영,2017-03-27,,,,2026-07-01,일반,3,2,1,0,0,0,2,0,0,8,5,10,2,0,0,0,0,0,0,17,0,33,33,17,17,1,5,0,0,0,0,0,0,0,7,2026-07-01 10:32:25.0,11030630,이촌1동,11030,용산구
용산구,11170000190,푸른꿈어린이집,국공립,정상,04355,"서울특별시 용산구 백범로 260 효창파크푸르지오아파트 104동, 1층",02-719-9989,02-719-9979,,3,70,0,4,8,20,18,37.54023934237648,126.95833237770782,미운영,2017-03-20,,,,2026-07-01,야간연장형,0,0,1,0,0,0,4,0,0,5,0,0,6,0,0,0,12,0,0,18,50,17,33,0,0,1,5,0,0,0,0,0,1,0,8,2026-07-01 10:32:25.0,11030580,효창동,11030,용산구
용산구,11170000189,오케이최고어린이집,가정,폐지,04336,서울특별시 용산구 두텁바위로31길 28,02-775-2560,,,2,87,1,4,0,20,0,37.5475629767,126.9803551745,미운영,2017-03-02,,,2024-12-18,2026-04-16,일반,0,1,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030510,후암동,11030,용산구
용산구,11170000188,샘물어린이집,국공립,정상,04361,서울특별시 용산구 원효로4가 원효로19길 49,02-701-0505,02-701-4900,,5,179,1,8,18,62,57,37.53421027177274,126.9545941511218,미운영,2016-10-01,,,,2026-07-01,장애아통합,0,2,2,1,0,0,2,1,2,10,0,8,14,12,0,0,7,10,6,57,23,15,15,31,15,1,12,1,0,0,0,0,1,0,18,2026-07-01 10:32:25.0,11030570,원효로2동,11030,용산구
용산구,11170000187,순천향대학교서울병원어린이집,직장,정상,04420,서울특별시 용산구 독서당로20길 9-5 1층,02-795-1007,,,3,67,0,6,6,20,5,37.5316743,127.0048128,미운영,2016-04-11,,,,2026-07-01,일반,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,40,20,40,1,4,0,0,0,0,0,1,0,6,2026-07-01 10:32:25.0,11030740,한남동,11030,용산구
용산구,11170000186,한가람꼬마숲어린이집,가정,폐지,04422,"서울특별시 용산구 이촌로71길 10 213-101(이촌동,한가람아파트)",070-8888-9655,02-797-9655,,3,77,0,4,0,18,0,37.52112117405008,126.97387034964583,미운영,2015-04-20,,,2022-03-01,2026-04-16,일반,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030630,이촌1동,11030,용산구
용산구,11170000185,지구촌어린이집,국공립,정상,04346,서울특별시 용산구 회나무로28길 13,02-797-7664,,,5,500,2,7,10,55,34,37.539379673754325,126.99219724016912,미운영,2015-01-26,,,,2026-07-01,"야간연장형,시간제보육",0,2,1,0,0,0,2,1,0,6,0,10,6,0,0,0,6,12,0,34,13,0,38,0,50,1,8,0,0,0,0,0,1,0,10,2026-07-01 10:32:25.0,11030660,이태원2동,11030,용산구
용산구,11170000184,더프라임어린이집,민간,정상,04315,"서울특별시 용산구 원효로90길 11 (원효로1가, 용산더프라임)",02-712-1880,02-714-1881,,6,105,0,5,9,39,32,37.54039598047992,126.96971637235515,미운영,2014-12-15,,,,2026-07-01,일반,1,3,2,0,0,0,0,0,0,6,3,15,14,0,0,0,0,0,0,32,29,43,0,29,0,1,7,0,0,0,0,0,0,0,9,2026-07-01 10:32:25.0,11030720,원효로1동,11030,용산구
용산구,11170000183,그림숲어린이집,가정,폐지,04397,서울특별시 용산구 서빙고로71길 62 (동빙고동),02-790-2796,02-790-2796,,3,51,0,4,0,16,0,37.52323030954181,126.99581891196901,미운영,2014-06-02,,,2022-03-01,2026-04-16,일반,1,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030690,서빙고동,11030,용산구
용산구,11170000122,푸른숲속어린이집,가정,정상,04358,"서울특별시 용산구 효창원로 17 104동 103호(산천동, 리버힐삼성아파트)",02-701-5437,02-701-5457,blueforest.kidsnote.ac,4,68,0,5,7,20,19,37.53487888,126.9508027,미운영,2014-03-11,,,,2026-07-01,일반,4,1,0,0,0,0,1,0,0,6,10,4,0,0,0,0,5,0,0,19,86,0,0,0,14,1,6,0,0,0,0,0,0,0,7,2026-07-01 10:32:25.0,11030570,원효로2동,11030,용산구
용산구,11170000047,앤젤어린이집,가정,폐지,04358,"서울특별시 용산구 효창원로 17 103동 104호(산천동, 삼성리버힐아파트)",02-706-5519,,,3,79,3,4,0,20,0,37.53487888,126.9508027,미운영,2014-03-11,,,2020-02-29,2026-04-16,야간연장형,1,1,2,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030570,원효로2동,11030,용산구
용산구,11170000164,노벨어린이집,가정,정상,04331,서울특별시 용산구 후암로22길 10 104호(후암동),02-796-7270,02-796-7270,,3,60,0,4,5,19,8,37.5513978116851,126.977294962797,미운영,2014-03-04,,,,2026-07-01,일반,1,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,5,0,0,8,25,0,0,25,50,1,3,0,0,0,0,0,0,0,5,2026-07-01 10:32:25.0,11030510,후암동,11030,용산구
용산구,11170000182,숙명직장어린이집,직장,정상,04310,서울특별시 용산구 청파로47길 100 사회교육관 1층(숙명여자대학교 제2캠퍼스),02-2077-7952,02-2077-7956,,5,390,1,23,12,80,48,37.545472732219956,126.96507482960453,미운영,2014-02-27,,,,2026-07-01,일반,1,2,2,1,0,0,0,1,0,7,2,10,12,9,0,0,0,15,0,48,11,44,11,0,33,1,9,0,0,0,0,0,1,0,12,2026-07-01 10:32:25.0,11030710,청파동,11030,용산구
용산구,11170000181,DB손해보험 아이사랑 어린이집,직장,정상,04323,서울특별시 용산구 후암로 107 게이트웨이타워 3층,02-771-8607,02-771-8606,,4,239,1,13,13,49,27,37.553461388771034,126.97356340514361,미운영,2014-02-20,,,,2026-07-01,일반,3,2,1,0,0,0,0,2,0,8,6,5,4,0,0,0,0,12,0,27,40,0,30,10,20,1,10,0,0,0,0,0,1,0,13,2026-07-01 10:32:25.0,11030530,남영동,11030,용산구
용산구,11170000180,미래어린이집,국공립,정상,04331,서울특별시 용산구 후암로16나길 13,02-752-5506,,,6,184,2,16,14,67,47,37.54903665238563,126.97830878870783,미운영,2013-10-25,,,,2026-07-01,야간연장형,1,1,3,1,0,0,3,1,0,10,3,4,15,7,0,0,6,12,0,47,27,9,46,9,9,1,11,0,0,0,0,0,1,0,14,2026-07-01 10:32:25.0,11030510,후암동,11030,용산구
용산구,11170000179,칙칙폭폭어린이집,협동,폐지,04316,서울특별시 용산구 원효로1가 원효로83길 5-8 (원효1동),02-714-0262,,,4,88,0,0,0,33,0,37.539610295749696,126.96706110004922,미운영,2013-06-14,,,2022-04-01,2026-04-16,일반,0,1,1,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030720,원효로1동,11030,용산구
용산구,11170000178,다성심어린이집,가정,폐지,04358,"서울특별시 용산구 효창원로 17 112동 106동(산천동,리버힐삼성아파트)",02-713-3002,,,4,61,1,4,0,19,0,37.534997809438096,126.94909182213823,운영,2013-04-11,,,2018-03-02,2026-04-16,야간연장형,1,2,3,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030570,원효로2동,11030,용산구
용산구,11170000177,딩동댕어린이집,가정,폐지,04358,"서울특별시 용산구 효창원로 17 101동 101호(산천동,리버힐삼성아파트)",02-6010-5437,02-6010-5437,,4,76,0,5,0,20,0,37.534997809438096,126.94909182213823,미운영,2013-04-01,,,2025-03-01,2026-04-16,일반,1,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030570,원효로2동,11030,용산구
용산구,11170000041,도담어린이집,가정,폐지,04354,서울특별시 용산구 새창로 70 105동 101호,070-4407-2993,02-703-2993,,3,56,1,3,0,19,0,37.53807146845881,126.95567179886406,미운영,2013-03-07,,,2022-03-01,2026-04-16,일반,2,1,1,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030590,용문동,11030,용산구
용산구,11170000175,고운꿈어린이집,가정,정상,04421,"서울특별시 용산구 이촌로 181 106동 102호(이촌동, 한강대우아파트)",02-797-3797,02-797-3796,http://cafe.daum.net/106102,3,65,0,4,7,19,19,37.5221536300623,126.97066188802754,미운영,2013-03-05,,,,2026-07-01,일반,2,2,1,0,0,0,1,0,0,6,5,9,0,0,0,0,5,0,0,19,17,0,67,17,0,1,5,0,0,0,0,0,0,0,7,2026-07-01 10:32:25.0,11030630,이촌1동,11030,용산구
용산구,11170000174,가온누리어린이집,가정,폐지,04332,서울특별시 용산구 후암로15길 4-23 (후암동),02-318-0428,02-318-3135,,4,50,1,4,0,18,0,37.54865880617309,126.97733206103469,미운영,2013-02-19,,,2020-12-01,2026-04-16,야간연장형,3,2,1,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030510,후암동,11030,용산구
용산구,11170000173,신계이편한어린이집,민간,폐지,04368,서울특별시 용산구 원효로 216 관리동 1층,070-7767-6300,,,4,72,0,4,0,21,0,37.53620570102583,126.96735787747312,미운영,2012-10-29,,,2018-03-02,2026-04-16,일반,0,0,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030720,원효로1동,11030,용산구
용산구,11170000172,빛나라어린이집,가정,폐지,04424,"서울특별시 용산구 이촌로 303 23동 103호(이촌동, 현대아파트)",02-792-7906,,,3,59,0,5,0,20,0,37.5194416168618,126.97849077319353,미운영,2012-09-05,,,2021-08-20,2026-04-16,일반,2,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030630,이촌1동,11030,용산구
용산구,11170000171,초록어린이집,가정,정상,04421,"서울특별시 용산구 이촌로 181 108동 103호(이촌동, 한강대우아파트)",02-790-2221,,,3,53,0,4,8,20,20,37.52243120840031,126.97093779275336,미운영,2012-08-16,,,,2026-07-01,일반,1,2,1,0,0,0,0,0,0,4,3,10,7,0,0,0,0,0,0,20,57,14,0,14,14,1,6,0,0,0,0,0,0,0,8,2026-07-01 10:32:25.0,11030630,이촌1동,11030,용산구
용산구,11170000170,도원꿈어린이집,가정,폐지,04354,서울특별시 용산구 새창로 70 105동 101호 (도원삼성래미안아파트),02-6351-6815,02-6351-6815,,4,60,0,5,0,19,0,37.52027870456863,126.97940363606915,미운영,2012-08-02,,,2022-09-30,2026-04-16,일반,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030630,이촌1동,11030,용산구
용산구,11170000169,오렌지어린이집,가정,폐지,04344,서울특별시 용산구 회나무로13가길 36,02-792-2385,,,4,59,0,0,0,20,0,37.5408330405554,126.991510064926,,2012-05-17,,,2014-05-13,2026-04-16,일반,1,2,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030660,이태원2동,11030,용산구
용산구,11170000168,브라이트어린이집,가정,폐지,04343,서울특별시 용산구 녹사평대로 286 이태원주공 아파트 108-103,02-790-7063,,,4,85,0,0,0,20,0,37.5431285831661,126.989513724697,미운영,2012-03-30,,,2012-09-19,2026-04-16,일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030660,이태원2동,11030,용산구
용산구,11170000167,IBK 참!좋은 어린이집,직장,정상,04419,서울특별시 용산구 한남대로 72 4층,02-798-3360,02-798-3369,,6,297,1,20,13,85,35,37.5350669793229,127.007056496912,미운영,2012-03-27,,,,2026-07-01,일반,0,5,3,0,0,0,0,6,0,14,0,7,5,0,0,0,0,23,0,35,10,10,40,30,10,1,10,0,0,0,0,0,2,0,13,2026-07-01 10:32:25.0,11030740,한남동,11030,용산구
용산구,11170000166,아이누리어린이집,가정,폐지,04311,서울특별시 용산구 효창원로93길 12,02-718-0866,02-6261-0867,,2,43,0,3,0,14,0,37.5485288063733,126.962829263887,미운영,2012-03-22,,,2018-04-25,2026-04-16,일반,1,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030580,효창동,11030,용산구
용산구,11170000165,유엔빌리지어린이집,가정,폐지,04420,서울특별시 용산구 독서당로20길 9-5,02-792-2677,,,3,72,0,4,0,20,0,37.5333837972641,127.00929200103,미운영,2012-03-12,,,2023-04-20,2026-04-16,일반,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030740,한남동,11030,용산구
용산구,11170000163,생각이자라는어린이집,가정,정상,04381,"서울특별시 용산구 이촌로 100-8 103동 102호 (이촌제2동, 동아그린아파트)",02-6352-3030,,,4,63,0,4,7,19,18,37.52425105445809,126.95826773935141,미운영,2012-02-22,,,,2026-07-01,일반,2,1,1,0,0,0,2,0,0,6,6,0,6,0,0,0,6,0,0,18,33,0,33,0,33,1,5,0,0,0,0,0,0,0,7,2026-07-01 10:32:25.0,11030640,이촌2동,11030,용산구
용산구,11170000162,즐거운어린이집,가정,정상,04421,서울특별시 용산구 이촌로 201 202동 101호(한가람아파트),02-792-4656,02-792-4656,,3,59,0,4,6,20,19,37.52134980870069,126.9701554373006,미운영,2012-01-30,,,,2026-07-01,일반,1,2,1,0,0,0,0,0,0,4,2,10,7,0,0,0,0,0,0,19,60,20,0,0,20,1,4,0,0,0,0,0,0,0,6,2026-07-01 10:32:25.0,11030630,이촌1동,11030,용산구
용산구,11170000161,한강어린이집,민간,폐지,04413,서울특별시 용산구 우사단로4길 94,02-792-0584,,,4,111,0,5,0,39,0,37.53076035841614,127.00179765735669,운영,2011-12-22,,,2019-08-31,2026-04-16,일반,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030700,보광동,11030,용산구
