관리번호,시도명,시군구명,쓰레기통종류,설치주소,상세위치,관리기관,관리기관전화번호
13,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동1가 154-10,청파동(서계동방면) 버스정류장(03-126),용산구청 청소행정과,02-2199-7304
14,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동2가 90-2,숙대입구역 청파동주민센터버스정류장(13-129) 뚜레주르 앞,용산구청 청소행정과,02-2199-7304
15,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동2가 120-33,숙대입구역 청파동주민센터버스정류장(03-128) ,용산구청 청소행정과,02-2199-7304
16,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 51-19,갈월동종합사회복지관 택시정류장,용산구청 청소행정과,02-2199-7304
17,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동1가 1-1,용산고등학교  앞 사거리( 구두 수선 앞),용산구청 청소행정과,02-2199-7304
18,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 251-16,스마일치과의원 건너편 버스정류장(03-203),용산구청 청소행정과,02-2199-7304
19,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 244-4,SC제일은행 앞 버스정류장(03-201),용산구청 청소행정과,02-2199-7304
20,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 77,후암시장(삼강의원방면) 버스정류장(03-200),용산구청 청소행정과,02-2199-7304
21,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 100-1,후암삼거리 버스정류장(03-199) 클라라 잡화,용산구청 청소행정과,02-2199-7304
22,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 105-192,진흥빌딩 앞 마을버스정류장(03-577),용산구청 청소행정과,02-2199-7304
23,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 244-5,진흥빌딩 건너편 그랜드아파트 횡단보도 앞,용산구청 청소행정과,02-2199-7304
24,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 110-1,원효로1가 선린교차로 현수막 거치대옆(남영지하차도입구),용산구청 청소행정과,02-2199-7304
25,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 13-7,전자상가관광터미널(신용산역3번출구방면) 버스정류장(03-252),용산구청 청소행정과,02-2199-7304
26,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 16-60,용산전자상가 한동빌딩 세븐일레븐(원효대교북단방면) 버스정류장(03-138),용산구청 청소행정과,02-2199-7304
27,서울특별시,용산구,일반쓰레기,서울특별시 용산구 문배동 11-14 ,삼각지 고가 등기소 건너편 마을버스정류장(03-552),용산구청 청소행정과,02-2199-7304
28,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 25-2 ,꿈나무종합타운 보건분소 앞 횡단보도,용산구청 청소행정과,02-2199-7304
29,서울특별시,용산구,일반쓰레기,서울특별시 용산구 효창동 70-11,효창공원역 2번출구 횡단보도(효창동물병원),용산구청 청소행정과,02-2199-7304
30,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용문동 5-222,효창공원역 3번출구(버스정류장03-180),용산구청 청소행정과,02-2199-7304
31,서울특별시,용산구,일반쓰레기,서울특별시 용산구 효창동 188-1,푸르지오아파트 앞 버스정류장(03-178),용산구청 청소행정과,02-2199-7304
32,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서계동 233-4,손기정체육공원 버스정류장(03-228),용산구청 청소행정과,02-2199-7304
33,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 301-160,현대아파트 21동 상가 앞,용산구청 청소행정과,02-2199-7304
34,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 402,강촌아파트 버스정류장(03-221),용산구청 청소행정과,02-2199-7304
35,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 300-153 ,신용산 초등학교 건너편(이상윤동물병원앞) 북동쪽 모서리 상가 앞,용산구청 청소행정과,02-2199-7304
36,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 410,이촌파출소 앞 버스정류장(03-217) ,용산구청 청소행정과,02-2199-7304
37,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 302-51,동부이촌동 국민은행 앞,용산구청 청소행정과,02-2199-7304
38,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 399-1 ,"이촌동두산위브아파트 앞 버스정류장(03-215, 03-733) ",용산구청 청소행정과,02-2199-7304
39,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 301-155,두산위브아파트 앞 횡단보도,용산구청 청소행정과,02-2199-7304
40,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 300-153,한강맨션 앞 버스정류장(이민재 소아청소년과) 북서쪽 상가  앞,용산구청 청소행정과,02-2199-7304
41,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 209-5,이촌2동 주민센터(이촌2동대림아파트방면) 버스정류장(03-291),용산구청 청소행정과,02-2199-7304
42,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 37-4,이촌2동 주민센터(이촌2동부영주유소방면) 버스정류장(03-290),용산구청 청소행정과,02-2199-7304
43,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 203-5,대림아파트 버스정류장(03-293)(새남터성당입구횡단보도),용산구청 청소행정과,02-2199-7304
44,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 193-1,강변맨션 앞 버스정류장(03-295) ,용산구청 청소행정과,02-2199-7304
45,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 40-879,동아아파트 건너편 버스정류장(03-294) 함흥냉면 앞,용산구청 청소행정과,02-2199-7304
46,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-154,용산역사박물관 앞 버스정류장(03-259),용산구청 청소행정과,02-2199-7304
47,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-555,용산철도고등학교 앞 횡단보도,용산구청 청소행정과,02-2199-7304
48,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동5가 17-12,이촌역 2번출구 ,용산구청 청소행정과,02-2199-7304
49,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동6가 69-165 ,온누리교회 앞 버스정류장(03-728) ,용산구청 청소행정과,02-2199-7304
50,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-504,철우아파트 옆 버스정류장(03-261),용산구청 청소행정과,02-2199-7304
51,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동6가 11-371,국립중앙박물관 정문 앞 횡단보도,용산구청 청소행정과,02-2199-7304
52,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동6가 11-426 ,국립중앙박물관 버스정류장(가족공원쪽)(03-266),용산구청 청소행정과,02-2199-7304
53,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 214-4,후암동 214-4 앞,용산구청 청소행정과,02-2199-7304
54,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 60-38,후암시장(우측)입구 횡단보도 앞,용산구청 청소행정과,02-2199-7304
55,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 4-1,한남시범아파트버스정류장(03-211) ,용산구청 청소행정과,02-2199-7304
56,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서계동 224-36,서울역공항철도15번출구. 국립극단버스정류장(03-345),용산구청 청소행정과,02-2199-7304
57,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 산10-214,한남2치안센터옆 공원입구 ,용산구청 청소행정과,02-2199-7304
58,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 253-4,한남오거리(순천향대학방면-북한남삼거리방면) 버스정류장(03-166) ,용산구청 청소행정과,02-2199-7304
59,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동빙고동 295-1,한강중학교(반포한강공원방면) 버스정류장(03-156) ,용산구청 청소행정과,02-2199-7304
60,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동빙고동 7-43,한강중학교건너편(용산구청방면) 버스정류장(03-155) ,용산구청 청소행정과,02-2199-7304
61,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동4가 19-2,용산구청(한강중학교 앞방면) 버스정류장(03-154),용산구청 청소행정과,02-2199-7304
62,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 34-161,용산구청(국군재정관리단방면) 버스정류장(03-153),용산구청 청소행정과,02-2199-7304
63,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 559 ,국군재정관리단 앞(이태원동남산대림아파트 방면) 버스정류장(03-152) ,용산구청 청소행정과,02-2199-7304
64,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 7-116,해방촌(용산구청 방면) 버스정류장(03-151),용산구청 청소행정과,02-2199-7304
65,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 5-1550,용암초등학교입구(남산3호터널 앞) 버스정류장(03-148),용산구청 청소행정과,02-2199-7304
66,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 205-3 ,방태산식당 앞(이촌2동주민센터 문화시설보건소셔틀버스정류장),용산구청 청소행정과,02-2199-7304
67,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 30-84,남산도서관 앞(두텁바위마을표지석 앞) 버스정류장(03-168),용산구청 청소행정과,02-2199-7304
68,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 30-84,남산도서관(백범광장방면) 버스정류장(03-167) ,용산구청 청소행정과,02-2199-7304
69,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 406-98,후암약수터(보성여중고입구방면) 버스정류장(03-170),용산구청 청소행정과,02-2199-7304
70,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 1-1239,보성여중고입구(후암약수터방면) 버스정류장(03-171) ,용산구청 청소행정과,02-2199-7304
71,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 260-373,남산체육관(하얏트호텔방면) 버스정류장(03-174) ,용산구청 청소행정과,02-2199-7304
72,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 259-15,하얏트 호텔(남산체육관방면) 버스정류장(03-175) 이광희뷰티크 건너편 ,용산구청 청소행정과,02-2199-7304
73,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 258-466,하얏트 호텔(서울시중부기술교육원 블루스퀘어방면) 버스정류장(03-176),용산구청 청소행정과,02-2199-7304
74,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 1-1144,보성여중고입구(용암초등학교 이태원2동주민센터방면) 버스정류장(03-172),용산구청 청소행정과,02-2199-7304
75,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-587,LG유플러스 앞 횡단보도(도심),용산구청 청소행정과,02-2199-7304
76,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 222-5,용산센트럴파크타워 북서쪽 한강대로변,용산구청 청소행정과,02-2199-7304
77,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 421 ,푸르지오써밋 래미안 사이 잔디밭,용산구청 청소행정과,02-2199-7304
78,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 412,용산우체국 앞( 택시정류장 앞 ) ,용산구청 청소행정과,02-2199-7304
79,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 422-1,신용산역 마을버스정류장(03-561),용산구청 청소행정과,02-2199-7304
80,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 109-2,KT 용산지점 마을버스정류장(03-564) 횡단보도,용산구청 청소행정과,02-2199-7304
81,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 255-6,KT 앞 중앙버스정류장 횡단보도(피터팬부동산),용산구청 청소행정과,02-2199-7304
82,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동2가 120-55 ,숙대입구역 버스정류장(03-229,용산구청 청소행정과,02-2199-7304
83,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 98,삼각지 안전지대 횡단보도 (LG자이아파트 앞 ),용산구청 청소행정과,02-2199-7304
84,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 83-1 ,CU편의점 앞 횡단보도,용산구청 청소행정과,02-2199-7304
85,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 61-4,신한은행 숙명여대입구역점 앞(서울역방면),용산구청 청소행정과,02-2199-7304
86,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 5-8,갈월동 갑을빌딩 앞(모델하우스),용산구청 청소행정과,02-2199-7304
87,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 69-45,갈월동 숙대입구 지하철역 9번출구 앞,용산구청 청소행정과,02-2199-7304
88,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 89-9,숙명여대 중앙버스정류장(롯데리아 앞),용산구청 청소행정과,02-2199-7304
89,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 101-23,남영역 고려빌딩 앞 (우),용산구청 청소행정과,02-2199-7304
90,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동자동 12-1,게이트웨이타워 버스정류장(03-198) 옆 횡단보도,용산구청 청소행정과,02-2199-7304
91,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 93-30,남영역 마을버스정류장(03-110) 신우성약국 앞,용산구청 청소행정과,02-2199-7304
92,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 98-5,남영역 앞 횡단보도,용산구청 청소행정과,02-2199-7304
93,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 421-2,푸르지오써밋 래미안 사이 잔디밭 동쪽,용산구청 청소행정과,02-2199-7304
94,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 40-148,한강로동 농협 앞 버스정류장(03-122) ,용산구청 청소행정과,02-2199-7304
95,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 40-19,베르가모 앞 ,용산구청 청소행정과,02-2199-7304
96,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 422-2 ,용산역 앞 횡단보도 건너편 ,용산구청 청소행정과,02-2199-7304
97,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 2-37 ,신용산지하차도입구 파리바게트 횡단보도앞 ,용산구청 청소행정과,02-2199-7304
98,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 40-1050,나인트리 프리미어 로카우스 횡단보도,용산구청 청소행정과,02-2199-7304
99,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 108 ,한남역 용산노인종합복지관(한남동 하이페리온방면) 버스정류장(03-285),용산구청 청소행정과,02-2199-7304
100,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 638-2,순천향대병원 앞 택시정류장 ,용산구청 청소행정과,02-2199-7304
101,서울특별시,용산구,일반쓰레기,서울특별시 용산구 산천동 81-1,원효로2동 주민센터 버스정류장(03-304),용산구청 청소행정과,02-2199-7304
102,서울특별시,용산구,일반쓰레기,서울특별시 용산구 보광동 90-2,보광동 신동아아파트(기업은행보광동지점방면) 버스정류장(03-277),용산구청 청소행정과,02-2199-7304
103,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 63-389 ,서빙고로 35 파크시티 앞 삼거리 횡단보도,용산구청 청소행정과,02-2199-7304
104,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 522-44 ,동원베네스트 공영주차장 사이 횡단보도,용산구청 청소행정과,02-2199-7304
105,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 259-6,한남동(한남시범아파트방면) 버스정류장(03-213)(현대리버티하우스 KEB하나은행 앞),용산구청 청소행정과,02-2199-7304
106,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 673,경리단 삼거리(보금사),용산구청 청소행정과,02-2199-7304
107,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 671,경리단입구 3호터널방향 GS25,용산구청 청소행정과,02-2199-7304
108,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 726-494,한강진역 1번출구 앞 (용산국제학교입구),용산구청 청소행정과,02-2199-7304
109,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 406-97,대한민국고엽제전우회 앞,용산구청 청소행정과,02-2199-7304
110,서울특별시,용산구,일반쓰레기,서울특별시 용산구 보광동 238-98,한국폴리텍1대학 버스정류장(03-281),용산구청 청소행정과,02-2199-7304
111,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 726-420,도이치모터스(BMW) 매장 앞,용산구청 청소행정과,02-2199-7304
112,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 7-116 ,녹사평역 1번출구 앞 마을버스정류장(03-524),용산구청 청소행정과,02-2199-7304
113,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 657-59,순천향 병원 진출로 옆 인도 연구동쪽 ,용산구청 청소행정과,02-2199-7304
114,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 638-2,순천향대병원 앞 택시정류장 ,용산구청 청소행정과,02-2199-7304
115,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 16-3 ,성촌공원 포르쉐센터 버스정류장(03-288),용산구청 청소행정과,02-2199-7304
116,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 302-61 ,이촌1동 충신교회 앞 버스정류장(03-216) ,용산구청 청소행정과,02-2199-7304
117,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 250-1,콩나물국밥 시루향기 24시 횡단보도 앞 ,용산구청 청소행정과,02-2199-7304
118,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동3가 12-4,청파로 250(남영역03-230버스정류장옆) 앞 횡단보도,용산구청 청소행정과,02-2199-7304
119,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 406-97,대한민국고엽제전우회 남쪽 50m,용산구청 청소행정과,02-2199-7304
120,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동4가 1-1 ,녹사평역 3번 출구 앞(직진2-3미터횡단보도 앞 ) ,용산구청 청소행정과,02-2199-7304
121,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동4가 1-1 ,녹사평역 3번 출구 앞(직진2-3미터횡단보도 앞 ) ,용산구청 청소행정과,02-2199-7304
122,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 34-114,이태원입구 공중화장실 앞 ,용산구청 청소행정과,02-2199-7304
123,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 34-114,이태원입구 공중화장실 앞 ,용산구청 청소행정과,02-2199-7304
124,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 57-30,이태원시장 버스정류장(03-189) 맥도날드 앞,용산구청 청소행정과,02-2199-7304
125,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 57-30,이태원시장 버스정류장(03-189) 맥도날드 앞,용산구청 청소행정과,02-2199-7304
126,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 176-2,이태원시장 버스정류장(03-188) ,용산구청 청소행정과,02-2199-7304
127,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 176-2,이태원시장 버스정류장(03-188) ,용산구청 청소행정과,02-2199-7304
128,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 58-8,국제아케이드건물 앞 횡단보도,용산구청 청소행정과,02-2199-7304
129,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 58-8,국제아케이드건물 앞 횡단보도,용산구청 청소행정과,02-2199-7304
130,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 168-17,ABC마트(신발가게) 앞,용산구청 청소행정과,02-2199-7304
131,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 168-17,ABC마트(신발가게) 앞,용산구청 청소행정과,02-2199-7304
132,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 72-35 ,신의주순대 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
133,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 72-35 ,신의주순대 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
134,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 119-11,해밀턴호텔 버스정류장(03-190) ,용산구청 청소행정과,02-2199-7304
135,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 119-11,해밀턴호텔 버스정류장(03-190) ,용산구청 청소행정과,02-2199-7304
136,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 108-9,이태원역 2번 출구 (해밀턴호텔정문 앞 횡단보도) ,용산구청 청소행정과,02-2199-7304
137,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 108-9,이태원역 2번 출구 (해밀턴호텔정문 앞 횡단보도) ,용산구청 청소행정과,02-2199-7304
138,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 127-12,이태원역 3번 출구 (올리브영 횡단보도 앞) ,용산구청 청소행정과,02-2199-7304
139,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 127-12,이태원역 3번 출구 (올리브영 횡단보도 앞) ,용산구청 청소행정과,02-2199-7304
140,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 123-26,무신사 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
141,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 123-26,무신사 앞 횡단보도,용산구청 청소행정과,02-2199-7304
142,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 124-9,이태원 119 안전센터 버스정류장(03-192),용산구청 청소행정과,02-2199-7304
143,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 124-9,이태원 119 안전센터 버스정류장(03-192),용산구청 청소행정과,02-2199-7304
144,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 736-1,제일기획 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
145,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 736-1,제일기획 앞 횡단보도,용산구청 청소행정과,02-2199-7304
146,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 683-130,스타벅스 리저브 앞,용산구청 청소행정과,02-2199-7304
147,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 683-130,스타벅스 리저브 앞,용산구청 청소행정과,02-2199-7304
148,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 739-1,삼성미술관 리움 택시정류장(폭스바겐건너편),용산구청 청소행정과,02-2199-7304
149,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 739-16,한남동주민센터 버스정류장(03-194),용산구청 청소행정과,02-2199-7304
150,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 34-16 ,이태원광장 녹사평역방향 횡단보도(좌측),용산구청 청소행정과,02-2199-7304
151,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 34-16 ,이태원광장 녹사평역방향 횡단보도(좌측),용산구청 청소행정과,02-2199-7304
152,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 34-87,용산구청 셔틀버스 정류장 아트홀 입구,용산구청 청소행정과,02-2199-7304
153,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 34-87,용산구청 셔틀버스 정류장 아트홀 입구 ,용산구청 청소행정과,02-2199-7304
154,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 130-50,보광동입구(한국폴리텍1대학방면) 버스정류장(03-283),용산구청 청소행정과,02-2199-7304
155,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 130-50,보광동입구(한국폴리텍1대학방면) 버스정류장(03-283) ,용산구청 청소행정과,02-2199-7304
156,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 727-56,한강진역 블루스퀘어 버스정류장(03-197) ,용산구청 청소행정과,02-2199-7304
157,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 727-56,한강진역 블루스퀘어 버스정류장(03-197) ,용산구청 청소행정과,02-2199-7304
158,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 707-10,순천향대학병원(블루스퀘어방면) 버스정류장(03-162),용산구청 청소행정과,02-2199-7304
159,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 707-10,순천향대학병원(블루스퀘어방면) 버스정류장(03-162),용산구청 청소행정과,02-2199-7304
160,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 705-10,순천향대학병원(서초IC방면) 버스정류장(03-164) ,용산구청 청소행정과,02-2199-7304
161,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 705-10,순천향대학병원(서초IC방면) 버스정류장(03-164) ,용산구청 청소행정과,02-2199-7304
162,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 705-10,순천향대학병원(서초IC방면) 버스정류장(03-164) ,용산구청 청소행정과,02-2199-7304
163,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 705-10,순천향대학병원(서초IC방면) 버스정류장(03-164) ,용산구청 청소행정과,02-2199-7304
164,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 705-9,순천향대학병원 한남오거리(신사역방면) 버스정류장(03-165),용산구청 청소행정과,02-2199-7304
165,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 705-9,순천향대학병원 한남오거리(신사역방면) 버스정류장(03-165),용산구청 청소행정과,02-2199-7304
166,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 76-16,한남오거리 하나은행 앞 횡단보도,용산구청 청소행정과,02-2199-7304
167,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 76-16,한남오거리 하나은행 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
168,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-523,한강대교북단(신용산방면) 중앙버스정류장(도심 03-001) ,용산구청 청소행정과,02-2199-7304
