상가업소번호,상호명,지점명,상권업종대분류명,지번주소,도로명주소,경도,위도,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
MA0106202507A0989602,원써드워크룸,,소매,서울특별시 성동구 성수동2가 577-6,서울특별시 성동구 둘레15길 22,127.0555882,37.53674674,11040670,성수2가1동,11040,성동구
MA0106202507A1990263,샐리셔스 성동,,음식,서울특별시 성동구 행당동 140,서울특별시 성동구 고산자로6길 40,127.0354698,37.55818025,11040560,행당1동,11040,성동구
MA0106202508A1996757,요밍 (YOMING),,소매,서울특별시 성동구 성수동1가 8-14,서울특별시 성동구 왕십리로4길 24-33,127.0471425,37.54671547,11040660,성수1가2동,11040,성동구
MA0106202508A2005643,성수 숲사진관,,과학·기술,서울특별시 성동구 성수동2가 315-1,서울특별시 성동구 아차산로 116,127.0566233,37.54403534,11040680,성수2가3동,11040,성동구
MA0106202507A1508607,신동아세탁,,수리·개인,서울특별시 성동구 행당동 344,서울특별시 성동구 독서당로59길 84,127.033601,37.55518047,11040570,행당2동,11040,성동구
MA0106202508A2189371,브릭샌드성수팩토리,,음식,서울특별시 성동구 성수동2가 275-41,서울특별시 성동구 성수이로20길 54,127.0624603,37.54185197,11040680,성수2가3동,11040,성동구
MA0106202508A1275188,해빗휘트니스옥수점,,예술·스포츠,서울특별시 성동구 옥수동 563,서울특별시 성동구 매봉길 48,127.0139979,37.54670603,11040730,옥수동,11040,성동구
MA0106202508A2418984,팬다이브스튜디오,,과학·기술,서울특별시 성동구 성수동2가 299-129,서울특별시 성동구 광나루로2길 16,127.0534248,37.54943381,11040680,성수2가3동,11040,성동구
MA0106202506A1234218,이룸축산,,소매,서울특별시 성동구 도선동 285-1,서울특별시 성동구 왕십리로 340,127.0324163,37.56333483,11040710,왕십리도선동,11040,성동구
MA0106202506A0572202,오야 성수,,음식,서울특별시 성동구 성수동1가 656-548,서울특별시 성동구 아차산로1길 12,127.0459444,37.54901349,11040660,성수1가2동,11040,성동구
MA0106202507A1903132,으라곱창 본점,,음식,서울특별시 성동구 성수동2가 314-6,서울특별시 성동구 아차산로 96,127.0544851,37.54466704,11040680,성수2가3동,11040,성동구
MA0106202507A0563530,조개구이마트,,음식,서울특별시 성동구 용답동 51-2,서울특별시 성동구 용답19길 5,127.0516122,37.56288651,11040700,용답동,11040,성동구
MA0106202508A0449108,카라멜 레코드,,음식,서울특별시 성동구 성수동2가 566-20,서울특별시 성동구 성덕정19길 3,127.0556904,37.53732333,11040670,성수2가1동,11040,성동구
MA0106202508A0705357,모모야 성수점,,음식,서울특별시 성동구 성수동1가 656-335,서울특별시 성동구 왕십리로 50,127.0449783,37.54189597,11040650,성수1가1동,11040,성동구
MA0106202508A0579797,티티크,,소매,서울특별시 성동구 성수동2가 517-6,서울특별시 성동구 성수이로3길 10-1,127.0531442,37.53668479,11040670,성수2가1동,11040,성동구
MA0106202508A1982931,카오(KHAO),,음식,서울특별시 성동구 성수동2가 316-40,서울특별시 성동구 연무장길 39-15,127.0538958,37.54334284,11040680,성수2가3동,11040,성동구
MA0106202507A1749428,바 에피,,음식,서울특별시 성동구 성수동1가 656-1008,서울특별시 성동구 성수일로1길 16,127.046902,37.54213849,11040650,성수1가1동,11040,성동구
MA0106202507A1321578,휘영모터스2호점,,수리·개인,서울특별시 성동구 성수동2가 280-4,서울특별시 성동구 광나루로6길 49,127.0647611,37.54621157,11040680,성수2가3동,11040,성동구
MA0106202506A1357181,홍콩다방 왕십리역사점,,음식,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17,127.0383915,37.56144094,11040560,행당1동,11040,성동구
MA0106202508A1684397,룡룡버거하우스 성수점,,음식,서울특별시 성동구 성수동2가 317-15,서울특별시 성동구 성수이로 90,127.0568488,37.54297205,11040680,성수2가3동,11040,성동구
MA0106202507A1703604,왕십리막회,,음식,서울특별시 성동구 행당동 19-57,서울특별시 성동구 마조로3가길 25,127.0400317,37.55965642,11040550,사근동,11040,성동구
MA0106202507A2105733,더블업 홀덤펍 왕십리점,,음식,서울특별시 성동구 행당동 19-45,서울특별시 성동구 마조로3가길 30,127.0403034,37.5598095,11040550,사근동,11040,성동구
MA0106202508A0543691,인터맨,,소매,서울특별시 성동구 용답동 100-3,서울특별시 성동구 용답중앙5길 13,127.051513,37.56683291,11040700,용답동,11040,성동구
MA0106202508A0389929,렌즈미 성수점,,소매,서울특별시 성동구 성수동1가 16-10,서울특별시 성동구 연무장길 16-2,127.0512368,37.5435873,11040650,성수1가1동,11040,성동구
MA0106202507A1622191,라인프렌즈스퀘어성수,,소매,서울특별시 성동구 성수동2가 320-1,서울특별시 성동구 성수이로 77,127.0559881,37.54199938,11040670,성수2가1동,11040,성동구
MA0106202507A1265481,이현주의찬장,,음식,서울특별시 성동구 성수동2가 289-180,서울특별시 성동구 광나루로 240-20,127.0561064,37.54889197,11040680,성수2가3동,11040,성동구
MA0106202508A2216533,창자,,음식,서울특별시 성동구 홍익동 131-1,서울특별시 성동구 고산자로 281,127.035971,37.56482044,11040710,왕십리도선동,11040,성동구
MA0106202508A0536109,케이지모빌리티성수서비스센터,,수리·개인,서울특별시 성동구 성수동2가 279-18,서울특별시 성동구 아차산로11가길 37,127.0644097,37.54546393,11040680,성수2가3동,11040,성동구
MA0106202508A2029122,주식회사 대성테크,,음식,서울특별시 성동구 성수동1가 685-704,서울특별시 성동구 왕십리로 63,127.0435875,37.5436174,11040650,성수1가1동,11040,성동구
MA0106202508A1958286,커피,,음식,서울특별시 성동구 송정동 66-196,서울특별시 성동구 광나루로 323,127.065657,37.54842753,11040690,송정동,11040,성동구
MA0106202508A1271951,호텔런드리 마장점,,수리·개인,서울특별시 성동구 마장동 388-19,서울특별시 성동구 마조로 56,127.0419234,37.56265609,11040540,마장동,11040,성동구
MA0106202507A1826469,하이베러,,소매,서울특별시 성동구 성수동2가 281-20,서울특별시 성동구 광나루로8길 31,127.0663236,37.54718378,11040680,성수2가3동,11040,성동구
MA0106202507A1662993,나나밍고네일,,수리·개인,서울특별시 성동구 성수동1가 656-1155,서울특별시 성동구 왕십리로16가길 10-30,127.0453343,37.5506175,11040660,성수1가2동,11040,성동구
MA0106202507A0984321,아무튼겨울,,예술·스포츠,서울특별시 성동구 성수동1가 613-25,서울특별시 성동구 성덕정1길 3,127.0458482,37.53971521,11040650,성수1가1동,11040,성동구
MA0106202508A1608026,파크,,소매,서울특별시 성동구 성수동1가 13-17,서울특별시 성동구 성수일로 111,127.0515923,37.55045275,11040660,성수1가2동,11040,성동구
MA0106202508A1331217,엠플레이그라운드성수,1호점,소매,서울특별시 성동구 성수동2가 273-46,서울특별시 성동구 연무장길 77,127.0578889,37.54181826,11040680,성수2가3동,11040,성동구
MA0106202506A0047405,레시피그룹,,소매,서울특별시 성동구 성수동2가 275-75,서울특별시 성동구 연무장17길 6,127.0612832,37.54136605,11040680,성수2가3동,11040,성동구
MA0106202507A0282809,리포메틱에바,코리아,시설관리·임대,서울특별시 성동구 성수동2가 280,서울특별시 성동구 아차산로17길 48,127.0658816,37.54639115,11040680,성수2가3동,11040,성동구
MA0106202508A0528520,김은경미용실,,수리·개인,서울특별시 성동구 하왕십리동 890-102,서울특별시 성동구 왕십리로31나길 39,127.0288398,37.5637412,11040520,왕십리2동,11040,성동구
MA0106202508A1696058,박만배 아리랑 보쌈 성수점,,음식,서울특별시 성동구 성수동1가 72-71,서울특별시 성동구 뚝섬로3길 13,127.0492212,37.54138972,11040650,성수1가1동,11040,성동구
MA0106202506A0142158,신정재세무사사무소,,과학·기술,서울특별시 성동구 성수동2가 284-55,서울특별시 성동구 성수일로8길 5,127.0516126,37.547074,11040680,성수2가3동,11040,성동구
MA0106202508A2065600,니키 바이 킨토라,,음식,서울특별시 성동구 금호동3가 396,서울특별시 성동구 금호산2길 22-10,127.0218292,37.548651,11040720,금호2·3가동,11040,성동구
MA0106202507A0075401,옥토스케이프,,소매,서울특별시 성동구 성수동1가 13-454,서울특별시 성동구 광나루로 162,127.0480847,37.55137325,11040660,성수1가2동,11040,성동구
MA0106202506A0823413,(주) 엔컴35지점,,소매,서울특별시 성동구 성수동2가 315-107,서울특별시 성동구 성수이로 93,127.0565663,37.54342268,11040680,성수2가3동,11040,성동구
MA0106202507A1178798,마음인베스트먼트,,과학·기술,서울특별시 성동구 성수동2가 271-11,서울특별시 성동구 뚝섬로13길 38,127.0582281,37.54141265,11040670,성수2가1동,11040,성동구
MA0106202506A2098972,주식회사 씨이제이스튜디오 성수지점,,소매,서울특별시 성동구 성수동2가 275-12,서울특별시 성동구 연무장길 114,127.061554,37.54047392,11040670,성수2가1동,11040,성동구
MA0106202507A1695048,마트G,,소매,서울특별시 성동구 용답동 226-9,서울특별시 성동구 자동차시장1길 1-15,127.0576326,37.56164035,11040700,용답동,11040,성동구
MA0106202507A2252891,말본골프성수,직영점,소매,서울특별시 성동구 성수동2가 317-23,서울특별시 성동구 성수이로20길 3,127.0571662,37.54373775,11040680,성수2가3동,11040,성동구
MA0106202506A1616887,보니니드,,소매,서울특별시 성동구 성수동2가 302-11,서울특별시 성동구 연무장5길 7,127.0524818,37.54403725,11040680,성수2가3동,11040,성동구
MA0106202507A0776261,보배곱창,,음식,서울특별시 성동구 용답동 41-3,서울특별시 성동구 용답19길 4-1,127.0517365,37.5626612,11040700,용답동,11040,성동구
MA0106202507A0026961,신성통상TOPTEN왕십리비트플렉스점,,소매,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17,127.0383915,37.56144094,11040560,행당1동,11040,성동구
MA0106202507A0686765,요맛 왕십리점,,음식,서울특별시 성동구 행당동 387,서울특별시 성동구 고산자로14길 26,127.0376341,37.56336932,11040560,행당1동,11040,성동구
MA0106202507A1115311,메이게츠 한양대,,음식,서울특별시 성동구 행당동 1-98,서울특별시 성동구 마조로7길 4-6,127.0409265,37.56098959,11040550,사근동,11040,성동구
MA0106202507A1086187,김선영 수학,,교육,서울특별시 성동구 홍익동 325,서울특별시 성동구 마장로 204-10,127.0324175,37.56619098,11040710,왕십리도선동,11040,성동구
MA0106202507A0456311,주식회사 유니콘무브,,음식,서울특별시 성동구 성수동2가 321-89,서울특별시 성동구 연무장길 56,127.0553434,37.54233305,11040670,성수2가1동,11040,성동구
MA0106202507A2066658,머글더글 (Muggle Duggle),,수리·개인,서울특별시 성동구 성수동1가 656-96,서울특별시 성동구 성수일로 11-1,127.0483727,37.54169641,11040650,성수1가1동,11040,성동구
MA0106202507A2231271,이터널그룹조이그라이슨성수,,소매,서울특별시 성동구 성수동2가 273-52,서울특별시 성동구 아차산로 126,127.05806,37.54350305,11040680,성수2가3동,11040,성동구
MA0106202507A2458715,펍지성수플레이아레나,,예술·스포츠,서울특별시 성동구 성수동1가 656-345,서울특별시 성동구 왕십리로4길 5,127.0454447,37.54608544,11040650,성수1가1동,11040,성동구
MA0106202507A2054891,방아실 연탄구이,,음식,서울특별시 성동구 성수동1가 656-1661,서울특별시 성동구 왕십리로2길 38,127.0487467,37.54259725,11040650,성수1가1동,11040,성동구
MA0106202507A2294787,망고라운지 홀덤펍 성수점,,음식,서울특별시 성동구 성수동2가 300-66,서울특별시 성동구 아차산로 93,127.0546892,37.5452526,11040680,성수2가3동,11040,성동구
MA0106202506A1848600,카브커피,,음식,서울특별시 성동구 용답동 3-4,서울특별시 성동구 용답중앙23길 13,127.054884,37.56399326,11040700,용답동,11040,성동구
MA0106202507A2285382,그린파우치,,소매,서울특별시 성동구 옥수동 244-10,서울특별시 성동구 독서당로 194,127.0126506,37.54267872,11040730,옥수동,11040,성동구
MA0106202507A2368653,바른왁싱 성수점,,소매,서울특별시 성동구 성수동2가 315-15,서울특별시 성동구 연무장9길 10-1,127.056204,37.54312553,11040680,성수2가3동,11040,성동구
MA0106202507A0089933,키스짐문화비,,예술·스포츠,서울특별시 성동구 금호동2가 448,서울특별시 성동구 무수막길 97,127.0198616,37.55433665,11040720,금호2·3가동,11040,성동구
MA0106202507A1343106,사공사,,소매,서울특별시 성동구 성수동2가 331-200,서울특별시 성동구 뚝섬로 404,127.0554085,37.53857585,11040670,성수2가1동,11040,성동구
