관리번호,시도명,시군구명,쓰레기통종류,설치주소,상세위치,관리기관,관리기관전화번호,위도,경도,지오코딩출처,매칭주소,지오코딩상태,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
12,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서계동 224-32,소화아동병원 앞(택시정류장),용산구청 청소행정과,02-2199-7304,37.55374927694531,126.96862066179808,parcel,서울특별시 용산구 서계동 224-32,OK(parcel 폴백),11030710,청파동,11030,용산구
13,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동1가 154-10,청파동(서계동방면) 버스정류장(03-126),용산구청 청소행정과,02-2199-7304,37.54895539680232,126.97025679675113,parcel,서울특별시 용산구 청파동1가 154-10,OK(parcel 폴백),11030710,청파동,11030,용산구
14,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동2가 90-2,숙대입구역 청파동주민센터버스정류장(13-129) 뚜레주르 앞,용산구청 청소행정과,02-2199-7304,37.545104256896046,126.97029551372702,parcel,서울특별시 용산구 청파동2가 90-2,OK(parcel 폴백),11030710,청파동,11030,용산구
15,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동2가 120-33,숙대입구역 청파동주민센터버스정류장(03-128),용산구청 청소행정과,02-2199-7304,37.54557259380434,126.97081666251398,parcel,서울특별시 용산구 청파동2가 120-33,OK(parcel 폴백),11030710,청파동,11030,용산구
16,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 51-19,갈월동종합사회복지관 택시정류장,용산구청 청소행정과,02-2199-7304,37.54581979700856,126.97481119829628,parcel,서울특별시 용산구 갈월동 51-19,OK(parcel 폴백),11030530,남영동,11030,용산구
17,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동1가 1-1,용산고등학교 앞 사거리( 구두 수선 앞),용산구청 청소행정과,02-2199-7304,37.54581862157299,126.97838786174492,parcel,서울특별시 용산구 용산동1가 1-1,OK(parcel 폴백),11030530,남영동,11030,용산구
18,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 251-16,스마일치과의원 건너편 버스정류장(03-203),용산구청 청소행정과,02-2199-7304,37.54660638088468,126.978433756542,parcel,서울특별시 용산구 후암동 251-16,OK(parcel 폴백),11030510,후암동,11030,용산구
19,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 244-4,SC제일은행 앞 버스정류장(03-201),용산구청 청소행정과,02-2199-7304,37.5499516737442,126.97760118588761,parcel,서울특별시 용산구 후암동 244-4,OK(parcel 폴백),11030510,후암동,11030,용산구
20,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 77,후암시장(삼강의원방면) 버스정류장(03-200),용산구청 청소행정과,02-2199-7304,37.546503150399786,126.98063931411029,road,서울특별시 용산구 두텁바위로 77 (후암동),OK,11030510,후암동,11030,용산구
21,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 100-1,후암삼거리 버스정류장(03-199) 클라라 잡화,용산구청 청소행정과,02-2199-7304,37.55237757328914,126.97655188064488,parcel,서울특별시 용산구 후암동 100-1,OK(parcel 폴백),11030510,후암동,11030,용산구
22,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 105-192,진흥빌딩 앞 마을버스정류장(03-577),용산구청 청소행정과,02-2199-7304,37.54836125583608,126.9776089814462,parcel,서울특별시 용산구 후암동 105-192,OK(parcel 폴백),11030510,후암동,11030,용산구
23,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 244-5,진흥빌딩 건너편 그랜드아파트 횡단보도 앞,용산구청 청소행정과,02-2199-7304,37.54810620871797,126.97810165840406,parcel,서울특별시 용산구 후암동 244-5,OK(parcel 폴백),11030510,후암동,11030,용산구
24,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 110-1,원효로1가 선린교차로 현수막 거치대옆(남영지하차도입구),용산구청 청소행정과,02-2199-7304,37.54163344639013,126.97097976815694,parcel,서울특별시 용산구 원효로1가 110-1,OK(parcel 폴백),11030720,원효로1동,11030,용산구
25,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 13-7,전자상가관광터미널(신용산역3번출구방면) 버스정류장(03-252),용산구청 청소행정과,02-2199-7304,37.532596161466685,126.96385950864499,parcel,서울특별시 용산구 한강로3가 13-7,OK(parcel 폴백),11030730,한강로동,11030,용산구
26,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 16-60,용산전자상가 한동빌딩 세븐일레븐(원효대교북단방면) 버스정류장(03-138),용산구청 청소행정과,02-2199-7304,37.531973730573775,126.9565338660862,parcel,서울특별시 용산구 한강로3가 16-60,OK(parcel 폴백),11030730,한강로동,11030,용산구
27,서울특별시,용산구,일반쓰레기,서울특별시 용산구 문배동 11-14,삼각지 고가 등기소 건너편 마을버스정류장(03-552),용산구청 청소행정과,02-2199-7304,37.53746256750834,126.96964553715463,parcel,서울특별시 용산구 문배동 11-14,OK(parcel 폴백),11030720,원효로1동,11030,용산구
28,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 25-2,꿈나무종합타운 보건분소 앞 횡단보도,용산구청 청소행정과,02-2199-7304,37.53850132895761,126.9663493822725,parcel,서울특별시 용산구 원효로1가 25-2,OK(parcel 폴백),11030720,원효로1동,11030,용산구
29,서울특별시,용산구,일반쓰레기,서울특별시 용산구 효창동 70-11,효창공원역 2번출구 횡단보도(효창동물병원),용산구청 청소행정과,02-2199-7304,37.5392919547414,126.96191500968177,parcel,서울특별시 용산구 효창동 70-11,OK(parcel 폴백),11030580,효창동,11030,용산구
30,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용문동 5-222,효창공원역 3번출구(버스정류장03-180),용산구청 청소행정과,02-2199-7304,37.53882324084565,126.96256671566795,parcel,서울특별시 용산구 용문동 5-222,OK(parcel 폴백),11030590,용문동,11030,용산구
31,서울특별시,용산구,일반쓰레기,서울특별시 용산구 효창동 188-1,푸르지오아파트 앞 버스정류장(03-178),용산구청 청소행정과,02-2199-7304,37.5403212570129,126.95861966555015,parcel,서울특별시 용산구 효창동 188-1,OK(parcel 폴백),11030580,효창동,11030,용산구
32,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서계동 233-4,손기정체육공원 버스정류장(03-228),용산구청 청소행정과,02-2199-7304,37.5542894843077,126.96648037904913,parcel,서울특별시 용산구 서계동 233-4,OK(parcel 폴백),11030710,청파동,11030,용산구
33,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 301-160,현대아파트 21동 상가 앞,용산구청 청소행정과,02-2199-7304,37.518743127801784,126.98086121125559,parcel,서울특별시 용산구 이촌동 301-160,OK(parcel 폴백),11030630,이촌1동,11030,용산구
34,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 402,강촌아파트 버스정류장(03-221),용산구청 청소행정과,02-2199-7304,37.519234142836225,126.97746819324746,parcel,서울특별시 용산구 이촌동 402,OK(parcel 폴백),11030630,이촌1동,11030,용산구
35,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 300-153,신용산 초등학교 건너편(이상윤동물병원앞) 북동쪽 모서리 상가 앞,용산구청 청소행정과,02-2199-7304,37.52004819852793,126.97278170099244,parcel,서울특별시 용산구 이촌동 300-153,OK(parcel 폴백),11030630,이촌1동,11030,용산구
36,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 410,이촌파출소 앞 버스정류장(03-217),용산구청 청소행정과,02-2199-7304,37.521055607572805,126.9724922509965,parcel,서울특별시 용산구 이촌동 410,OK(parcel 폴백),11030630,이촌1동,11030,용산구
37,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 302-51,동부이촌동 국민은행 앞,용산구청 청소행정과,02-2199-7304,37.52085014942273,126.96982816755549,parcel,서울특별시 용산구 이촌동 302-51,OK(parcel 폴백),11030630,이촌1동,11030,용산구
38,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 399-1,"이촌동두산위브아파트 앞 버스정류장(03-215, 03-733)",용산구청 청소행정과,02-2199-7304,37.52170495900587,126.96839984820744,parcel,서울특별시 용산구 이촌동 399-1,OK(parcel 폴백),11030630,이촌1동,11030,용산구
39,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 301-155,두산위브아파트 앞 횡단보도,용산구청 청소행정과,02-2199-7304,37.52185224654408,126.9670689022085,parcel,서울특별시 용산구 이촌동 301-155,OK(parcel 폴백),11030630,이촌1동,11030,용산구
40,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 300-153,한강맨션 앞 버스정류장(이민재 소아청소년과) 북서쪽 상가 앞,용산구청 청소행정과,02-2199-7304,37.52004819852793,126.97278170099244,parcel,서울특별시 용산구 이촌동 300-153,OK(parcel 폴백),11030630,이촌1동,11030,용산구
41,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 209-5,이촌2동 주민센터(이촌2동대림아파트방면) 버스정류장(03-291),용산구청 청소행정과,02-2199-7304,37.52787938839098,126.95470843943457,parcel,서울특별시 용산구 이촌동 209-5,OK(parcel 폴백),11030640,이촌2동,11030,용산구
42,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 37-4,이촌2동 주민센터(이촌2동부영주유소방면) 버스정류장(03-290),용산구청 청소행정과,02-2199-7304,37.52764699515456,126.95512868401306,parcel,서울특별시 용산구 한강로3가 37-4,OK(parcel 폴백),11030730,한강로동,11030,용산구
43,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 203-5,대림아파트 버스정류장(03-293)(새남터성당입구횡단보도),용산구청 청소행정과,02-2199-7304,37.52612244395219,126.95603733491401,parcel,서울특별시 용산구 이촌동 203-5,OK(parcel 폴백),11030640,이촌2동,11030,용산구
44,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 193-1,강변맨션 앞 버스정류장(03-295),용산구청 청소행정과,02-2199-7304,37.523426007040655,126.9597141054146,parcel,서울특별시 용산구 이촌동 193-1,OK(parcel 폴백),11030640,이촌2동,11030,용산구
45,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 40-879,동아아파트 건너편 버스정류장(03-294) 함흥냉면 앞,용산구청 청소행정과,02-2199-7304,37.52393762692732,126.95964950168457,parcel,서울특별시 용산구 한강로3가 40-879,OK(parcel 폴백),11030730,한강로동,11030,용산구
46,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-154,용산역사박물관 앞 버스정류장(03-259),용산구청 청소행정과,02-2199-7304,37.52512978573877,126.9658076619753,parcel,서울특별시 용산구 한강로3가 65-154,OK(parcel 폴백),11030730,한강로동,11030,용산구
47,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-555,용산철도고등학교 앞 횡단보도,용산구청 청소행정과,02-2199-7304,37.525031866867664,126.96714814386476,parcel,서울특별시 용산구 한강로3가 65-555,OK(parcel 폴백),11030730,한강로동,11030,용산구
48,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동5가 17-12,이촌역 2번출구,용산구청 청소행정과,02-2199-7304,37.52212515831586,126.97569397379152,parcel,서울특별시 용산구 용산동5가 17-12,OK(parcel 폴백),11030730,한강로동,11030,용산구
49,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동6가 69-165,온누리교회 앞 버스정류장(03-728),용산구청 청소행정과,02-2199-7304,37.51877613517739,126.98512725251238,parcel,서울특별시 용산구 용산동6가 69-165,OK(parcel 폴백),11030690,서빙고동,11030,용산구
50,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-504,철우아파트 옆 버스정류장(03-261),용산구청 청소행정과,02-2199-7304,37.52370394673881,126.9693538609675,parcel,서울특별시 용산구 한강로3가 65-504,OK(parcel 폴백),11030730,한강로동,11030,용산구
51,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동6가 11-371,국립중앙박물관 정문 앞 횡단보도,용산구청 청소행정과,02-2199-7304,37.521194870400485,126.97854812536221,parcel,서울특별시 용산구 용산동6가 11-371,OK(parcel 폴백),11030690,서빙고동,11030,용산구
52,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동6가 11-426,국립중앙박물관 버스정류장(가족공원쪽)(03-266),용산구청 청소행정과,02-2199-7304,37.522872770458434,126.97884815850395,parcel,서울특별시 용산구 용산동6가 11-426,OK(parcel 폴백),11030690,서빙고동,11030,용산구
53,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 214-4,후암동 214-4 앞,용산구청 청소행정과,02-2199-7304,37.54702349370817,126.97800394897499,parcel,서울특별시 용산구 후암동 214-4,OK(parcel 폴백),11030510,후암동,11030,용산구
54,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 60-38,후암시장(우측)입구 횡단보도 앞,용산구청 청소행정과,02-2199-7304,37.5504761279686,126.97744474020962,parcel,서울특별시 용산구 후암동 60-38,OK(parcel 폴백),11030510,후암동,11030,용산구
55,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 4-1,한남시범아파트버스정류장(03-211),용산구청 청소행정과,02-2199-7304,37.532826108096906,126.99768907352319,road,서울특별시 용산구 우사단로10나길 4-1 (한남동),OK,11030740,한남동,11030,용산구
56,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서계동 224-36,서울역공항철도15번출구. 국립극단버스정류장(03-345),용산구청 청소행정과,02-2199-7304,37.5533359121994,126.96893657566376,parcel,서울특별시 용산구 서계동 224-36,OK(parcel 폴백),11030710,청파동,11030,용산구
57,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 산10-214,한남2치안센터옆 공원입구,용산구청 청소행정과,02-2199-7304,37.53979105724604,127.00134542657489,parcel,서울특별시 용산구 한남동 산 10-214,OK(parcel 폴백),11030740,한남동,11030,용산구
58,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 253-4,한남오거리(순천향대학방면-북한남삼거리방면) 버스정류장(03-166),용산구청 청소행정과,02-2199-7304,37.53302887947162,127.00827293189677,parcel,서울특별시 용산구 한남동 253-4,OK(parcel 폴백),11030740,한남동,11030,용산구
59,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동빙고동 295-1,한강중학교(반포한강공원방면) 버스정류장(03-156),용산구청 청소행정과,02-2199-7304,37.52506941122456,126.99203291017447,parcel,서울특별시 용산구 동빙고동 295-1,OK(parcel 폴백),11030690,서빙고동,11030,용산구
60,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동빙고동 7-43,한강중학교건너편(용산구청방면) 버스정류장(03-155),용산구청 청소행정과,02-2199-7304,37.52584015624586,126.99200613194833,parcel,서울특별시 용산구 동빙고동 7-43,OK(parcel 폴백),11030690,서빙고동,11030,용산구
61,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동4가 19-2,용산구청(한강중학교 앞방면) 버스정류장(03-154),용산구청 청소행정과,02-2199-7304,37.52859089055447,126.99138472167206,parcel,서울특별시 용산구 용산동4가 19-2,OK(parcel 폴백),11030520,용산2가동,11030,용산구
62,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 34-161,용산구청(국군재정관리단방면) 버스정류장(03-153),용산구청 청소행정과,02-2199-7304,37.530505678405284,126.99130180736293,parcel,서울특별시 용산구 이태원동 34-161,OK(parcel 폴백),11030650,이태원1동,11030,용산구
63,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 559,국군재정관리단 앞(이태원동남산대림아파트 방면) 버스정류장(03-152),용산구청 청소행정과,02-2199-7304,37.537239113427646,126.98707656085199,parcel,서울특별시 용산구 이태원동 559,OK(parcel 폴백),11030660,이태원2동,11030,용산구
64,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 7-116,해방촌(용산구청 방면) 버스정류장(03-151),용산구청 청소행정과,02-2199-7304,37.53642887055183,126.98675833118119,parcel,서울특별시 용산구 용산동2가 7-116,OK(parcel 폴백),11030520,용산2가동,11030,용산구
65,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 5-1550,용암초등학교입구(남산3호터널 앞) 버스정류장(03-148),용산구청 청소행정과,02-2199-7304,37.54391973096486,126.98869653355999,parcel,서울특별시 용산구 용산동2가 5-1550,OK(parcel 폴백),11030520,용산2가동,11030,용산구
66,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 205-3,방태산식당 앞(이촌2동주민센터 문화시설보건소셔틀버스정류장),용산구청 청소행정과,02-2199-7304,37.5265736715088,126.95560851535788,parcel,서울특별시 용산구 이촌동 205-3,OK(parcel 폴백),11030640,이촌2동,11030,용산구
67,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 30-84,남산도서관 앞(두텁바위마을표지석 앞) 버스정류장(03-168),용산구청 청소행정과,02-2199-7304,37.55264501178891,126.98108413424613,parcel,서울특별시 용산구 후암동 30-84,OK(parcel 폴백),11030510,후암동,11030,용산구
68,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 30-84,남산도서관(백범광장방면) 버스정류장(03-167),용산구청 청소행정과,02-2199-7304,37.55264501178891,126.98108413424613,parcel,서울특별시 용산구 후암동 30-84,OK(parcel 폴백),11030510,후암동,11030,용산구
69,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 406-98,후암약수터(보성여중고입구방면) 버스정류장(03-170),용산구청 청소행정과,02-2199-7304,37.54847776029165,126.98416864054735,parcel,서울특별시 용산구 후암동 406-98,OK(parcel 폴백),11030510,후암동,11030,용산구
70,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 1-1239,보성여중고입구(후암약수터방면) 버스정류장(03-171),용산구청 청소행정과,02-2199-7304,37.5464634073066,126.98567275749414,parcel,서울특별시 용산구 용산동2가 1-1239,OK(parcel 폴백),11030520,용산2가동,11030,용산구
71,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 260-373,남산체육관(하얏트호텔방면) 버스정류장(03-174),용산구청 청소행정과,02-2199-7304,37.54262840890547,126.99305863024378,parcel,서울특별시 용산구 이태원동 260-373,OK(parcel 폴백),11030660,이태원2동,11030,용산구
72,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 259-15,하얏트 호텔(남산체육관방면) 버스정류장(03-175) 이광희뷰티크 건너편,용산구청 청소행정과,02-2199-7304,37.54281966006478,126.99531262668513,parcel,서울특별시 용산구 이태원동 259-15,OK(parcel 폴백),11030660,이태원2동,11030,용산구
73,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 258-466,하얏트 호텔(서울시중부기술교육원 블루스퀘어방면) 버스정류장(03-176),용산구청 청소행정과,02-2199-7304,37.54094956596019,126.99741585951766,parcel,서울특별시 용산구 이태원동 258-466,OK(parcel 폴백),11030660,이태원2동,11030,용산구
74,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 1-1144,보성여중고입구(용암초등학교 이태원2동주민센터방면) 버스정류장(03-172),용산구청 청소행정과,02-2199-7304,37.54629702038071,126.9856451893207,parcel,서울특별시 용산구 용산동2가 1-1144,OK(parcel 폴백),11030520,용산2가동,11030,용산구
75,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-587,LG유플러스 앞 횡단보도(도심),용산구청 청소행정과,02-2199-7304,37.52410586802931,126.96357455622183,parcel,서울특별시 용산구 한강로3가 65-587,OK(parcel 폴백),11030730,한강로동,11030,용산구
76,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 222-5,용산센트럴파크타워 북서쪽 한강대로변,용산구청 청소행정과,02-2199-7304,37.5361514801684,126.97125591294889,road,서울특별시 용산구 백범로 382-5 (한강로2가),OK[주소정리1],11030730,한강로동,11030,용산구
77,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 421,푸르지오써밋 래미안 사이 잔디밭,용산구청 청소행정과,02-2199-7304,37.52801326389704,126.96574753110504,parcel,서울특별시 용산구 한강로2가 421,OK(parcel 폴백),11030730,한강로동,11030,용산구
78,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 412,용산우체국 앞( 택시정류장 앞 ),용산구청 청소행정과,02-2199-7304,37.53110767546958,126.97119066451468,parcel,서울특별시 용산구 한강로2가 412,OK(parcel 폴백),11030730,한강로동,11030,용산구
79,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 422-1,신용산역 마을버스정류장(03-561),용산구청 청소행정과,02-2199-7304,37.529935685922915,126.96756049241701,parcel,서울특별시 용산구 한강로2가 422-1,OK(parcel 폴백),11030730,한강로동,11030,용산구
80,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 109-2,KT 용산지점 마을버스정류장(03-564) 횡단보도,용산구청 청소행정과,02-2199-7304,37.53140462673315,126.9704222857448,parcel,서울특별시 용산구 한강로2가 109-2,OK(parcel 폴백),11030730,한강로동,11030,용산구
81,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 255-6,KT 앞 중앙버스정류장 횡단보도(피터팬부동산),용산구청 청소행정과,02-2199-7304,37.53223027213464,126.97046167076121,parcel,서울특별시 용산구 한강로2가 255-6,OK(parcel 폴백),11030730,한강로동,11030,용산구
82,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동2가 120-55,숙대입구역 버스정류장(03-229,용산구청 청소행정과,02-2199-7304,37.54437750498022,126.97091185682788,parcel,서울특별시 용산구 청파동2가 120-55,OK(parcel 폴백),11030710,청파동,11030,용산구
83,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 98,삼각지 안전지대 횡단보도 (LG자이아파트 앞 ),용산구청 청소행정과,02-2199-7304,37.535942022812044,126.97420129214636,parcel,서울특별시 용산구 한강로1가 98,OK(parcel 폴백),11030730,한강로동,11030,용산구
84,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 83-1,CU편의점 앞 횡단보도,용산구청 청소행정과,02-2199-7304,37.542388109522065,126.97314901356391,parcel,서울특별시 용산구 남영동 83-1,OK(parcel 폴백),11030530,남영동,11030,용산구
85,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 61-4,신한은행 숙명여대입구역점 앞(서울역방면),용산구청 청소행정과,02-2199-7304,37.54347395795644,126.97274497756956,parcel,서울특별시 용산구 남영동 61-4,OK(parcel 폴백),11030530,남영동,11030,용산구
86,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 5-8,갈월동 갑을빌딩 앞(모델하우스),용산구청 청소행정과,02-2199-7304,37.5490320435305,126.97361630161627,road,서울특별시 용산구 한강대로102가길 5-8 (갈월동),OK,11030530,남영동,11030,용산구
87,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 69-45,갈월동 숙대입구 지하철역 9번출구 앞,용산구청 청소행정과,02-2199-7304,37.54438465677481,126.9718829506922,parcel,서울특별시 용산구 갈월동 69-45,OK(parcel 폴백),11030530,남영동,11030,용산구
88,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 89-9,숙명여대 중앙버스정류장(롯데리아 앞),용산구청 청소행정과,02-2199-7304,37.54333367459052,126.97189299461809,parcel,서울특별시 용산구 갈월동 89-9,OK(parcel 폴백),11030530,남영동,11030,용산구
89,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 101-23,남영역 고려빌딩 앞 (우),용산구청 청소행정과,02-2199-7304,37.541779191241716,126.97266680243136,parcel,서울특별시 용산구 갈월동 101-23,OK(parcel 폴백),11030530,남영동,11030,용산구
90,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동자동 12-1,게이트웨이타워 버스정류장(03-198) 옆 횡단보도,용산구청 청소행정과,02-2199-7304,37.55344076714478,126.97405144019041,parcel,서울특별시 용산구 동자동 12-1,OK(parcel 폴백),11030530,남영동,11030,용산구
91,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 93-30,남영역 마을버스정류장(03-110) 신우성약국 앞,용산구청 청소행정과,02-2199-7304,37.54223505176685,126.97186545606958,parcel,서울특별시 용산구 갈월동 93-30,OK(parcel 폴백),11030530,남영동,11030,용산구
92,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 98-5,남영역 앞 횡단보도,용산구청 청소행정과,02-2199-7304,37.54166350637197,126.97171828810022,parcel,서울특별시 용산구 갈월동 98-5,OK(parcel 폴백),11030530,남영동,11030,용산구
