"금연구역명","금연구역범위상세","시도명","시군구명","금연구역구분","금연구역지정근거명","금연구역면적","위반과태료","위반신고전화번호","소재지도로명주소","소재지지번주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","작업일시"
"문무태권도","시설전체","서울특별시","강북구","체육도장업                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 752-10","서울특별시 강북구청","37.62304621","127.0195026","2026-02-10","","2026-06-07 10:57:02.0"
"엄마한식","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 752-3","서울특별시 강북구청","37.62266454","127.0201986","2026-02-10","","2026-06-07 10:57:02.0"
"환희","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 752-4","서울특별시 강북구청","37.62262756","127.0200858","2026-02-10","","2026-06-07 10:57:02.0"
"보태기 밥상","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 752-5","서울특별시 강북구청","37.6226086","127.0199728","2026-02-10","","2026-06-07 10:57:02.0"
"브라운헤이븐(Brown Haven)","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-290","서울특별시 강북구청","37.6155345","127.0318796","2026-02-10","","2026-06-07 10:57:02.0"
"예히당","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-308","서울특별시 강북구청","37.61506173","127.0324634","2026-02-10","","2026-06-07 10:57:02.0"
"집밥식당","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 754-114","서울특별시 강북구청","37.62273831","127.0204015","2026-02-10","","2026-06-07 10:57:02.0"
"리틀룸(little room)","시설전체","서울특별시","강북구","제과점영업                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-44","서울특별시 강북구청","37.61390954","127.0326029","2026-02-10","","2026-06-07 10:57:02.0"
"느자구","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-62","서울특별시 강북구청","37.61383366","127.0321395","2026-02-10","","2026-06-07 10:57:02.0"
"미아서울치과의원","시설전체","서울특별시","강북구","치과의원                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"민들레 김밥","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"비행기포차","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"뽀끼뽀끼","시설전체","서울특별시","강북구","청소년게임제공업                                                                                            ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"삼양동 순대 떡볶이","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"스톤PC","시설전체","서울특별시","강북구","인터넷컴퓨터게임제공업                                                                                         ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"스톤피씨","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"카페로뎀194","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"돈죠 돈죠","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-9","서울특별시 강북구청","37.62572292","127.0184932","2026-02-10","","2026-06-07 10:57:02.0"
"우리집 칼국수","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-9","서울특별시 강북구청","37.61440405","127.0313732","2026-02-10","","2026-06-07 10:57:02.0"
"장터칼국수","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-9","서울특별시 강북구청","37.61440405","127.0313732","2026-02-10","","2026-06-07 10:57:02.0"
"홍성양꼬치","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-9","서울특별시 강북구청","37.61440405","127.0313732","2026-02-10","","2026-06-07 10:57:02.0"
"경희대 성용태권도","시설전체","서울특별시","강북구","체육도장업                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 7-5","서울특별시 강북구청","37.61367534","127.0348147","2026-02-10","","2026-06-07 10:57:02.0"
"소울 휘트니스","시설전체","서울특별시","강북구","체력단련장업                                                                                              ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 7-5","서울특별시 강북구청","37.61367534","127.0348147","2026-02-10","","2026-06-07 10:57:02.0"
"스카이(SKY)수학학원","시설전체","서울특별시","강북구","학교교과교습학원                                                                                            ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 7-5","서울특별시 강북구청","37.61367534","127.0348147","2026-02-10","","2026-06-07 10:57:02.0"
"예솔음악학원","시설전체","서울특별시","강북구","학교교과교습학원                                                                                            ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 7-5","서울특별시 강북구청","37.61367534","127.0348147","2026-02-10","","2026-06-07 10:57:02.0"
"갈채","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 760-106","서울특별시 강북구청","37.62302852","127.0173731","2026-02-10","","2026-06-07 10:57:02.0"
"김성학이비인후과의원","시설전체","서울특별시","강북구","의원                                                                                                  ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 773-10","서울특별시 강북구청","37.62484331","127.0210763","2026-02-10","","2026-06-07 10:57:02.0"
"일심치과의원","시설전체","서울특별시","강북구","치과의원                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 773-12","서울특별시 강북구청","37.62468696","127.0206932","2026-02-10","","2026-06-07 10:57:02.0"
"닭발공작소","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 773-29","서울특별시 강북구청","37.62498408","127.0206667","2026-02-10","","2026-06-07 10:57:02.0"
"신통치킨","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 773-29","서울특별시 강북구청","37.62498408","127.0206667","2026-02-10","","2026-06-07 10:57:02.0"
"100 CLASS BILLIARDS","시설전체","서울특별시","강북구","당구장업                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 773-8","서울특별시 강북구청","37.62504837","127.0208131","2026-02-10","","2026-06-07 10:57:02.0"
"100클라스(CLASS)","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 773-8","서울특별시 강북구청","37.62504837","127.0208131","2026-02-10","","2026-06-07 10:57:02.0"
"이경가추어탕","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-32","서울특별시 강북구청","37.62453107","127.0192792","2026-02-10","","2026-06-07 10:57:02.0"
"인생아구찜","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-36","서울특별시 강북구청","37.62461909","127.0190288","2026-02-10","","2026-06-07 10:57:02.0"
"처갓집양념치킨 삼양점","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-36","서울특별시 강북구청","37.62461909","127.0190288","2026-02-10","","2026-06-07 10:57:02.0"
"엄마손 순대국","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-37","서울특별시 강북구청","37.62455697","127.0191429","2026-02-10","","2026-06-07 10:57:02.0"
"59 피자","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-3","서울특별시 강북구청","37.62499438","127.0188184","2026-02-10","","2026-06-07 10:57:02.0"
"삼양제일내과의원","시설전체","서울특별시","강북구","의원                                                                                                  ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-3","서울특별시 강북구청","37.62498678","127.0188201","2026-02-10","","2026-06-07 10:57:02.0"
"영자네곱창","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-3","서울특별시 강북구청","37.62499438","127.0188184","2026-02-10","","2026-06-07 10:57:02.0"
"정든치과의원","시설전체","서울특별시","강북구","치과의원                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-3","서울특별시 강북구청","37.62499438","127.0188184","2026-02-10","","2026-06-07 10:57:02.0"
"황제해물짬뽕","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-40","서울특별시 강북구청","37.62478079","127.0189701","2026-02-10","","2026-06-07 10:57:02.0"
"강북삼성한의원","시설전체","서울특별시","강북구","한의원                                                                                                 ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-42","서울특별시 강북구청","37.62478867","127.018834","2026-02-10","","2026-06-07 10:57:02.0"
"길다방","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-42","서울특별시 강북구청","37.62478867","127.018834","2026-02-10","","2026-06-07 10:57:02.0"
"핫오리수유점","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-16","서울특별시 강북구청","37.62983319","127.0219344","2026-02-10","","2026-06-07 10:57:02.0"
"케빈마로(kevinmaro)","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-1767","서울특별시 강북구청","37.62525923","127.0128245","2026-02-10","","2026-06-07 10:57:02.0"
"씨유 미아마인점","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-1770","서울특별시 강북구청","37.62500393","127.0122267","2026-02-10","","2026-06-07 10:57:02.0"
"청운주택","시설전체","서울특별시","강북구","연면적1000㎡ 복합건축물                                                                                      ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-1777","서울특별시 강북구청","37.62480923","127.0126484","2026-02-10","","2026-06-07 10:57:02.0"
"구립초록나라어린이집","시설전체","서울특별시","강북구","어린이집                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-1873","서울특별시 강북구청","37.62406476","127.0130547","2026-02-10","","2026-06-07 10:57:02.0"
"젤존주택","시설전체","서울특별시","강북구","연면적1000㎡ 복합건축물                                                                                      ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-1896","서울특별시 강북구청","37.62362233","127.0140235","2026-02-10","","2026-06-07 10:57:02.0"
"삼양초등학교","시설전체","서울특별시","강북구","연면적1000㎡ 복합건축물                                                                                      ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-1932","서울특별시 강북구청","37.62329763","127.0161461","2026-02-10","","2026-06-07 10:57:02.0"
"서울삼양초등학교","시설전체","서울특별시","강북구","학교                                                                                                  ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-1932","서울특별시 강북구청","37.62329763","127.0161461","2026-02-10","","2026-06-07 10:57:02.0"
"지에스25 미아행운점","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-2003","서울특별시 강북구청","37.62281445","127.0132968","2026-02-10","","2026-06-07 10:57:02.0"
"구립아람하나어린이집","시설전체","서울특별시","강북구","어린이집                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-2119","서울특별시 강북구청","37.62170406","127.0168695","2026-02-10","","2026-06-07 10:57:02.0"
"대박집","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-2150","서울특별시 강북구청","37.62064022","127.0183954","2026-02-10","","2026-06-07 10:57:02.0"
"NEW한솔보습학원","시설전체","서울특별시","강북구","학교교과교습학원                                                                                            ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-2155","서울특별시 강북구청","37.62100069","127.0183966","2026-02-10","","2026-06-07 10:57:02.0"
"주식회사 멀티키친","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-2155","서울특별시 강북구청","37.62100069","127.0183966","2026-02-10","","2026-06-07 10:57:02.0"
"인생푸드","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-21","서울특별시 강북구청","37.62965075","127.0216705","2026-02-10","","2026-06-07 10:57:02.0"
"골목길 카페","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-2296","서울특별시 강북구청","37.62046146","127.0196498","2026-02-10","","2026-06-07 10:57:02.0"
"양슐랭","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 776-130","서울특별시 강북구청","37.62356114","127.0185782","2026-02-10","","2026-06-07 10:57:02.0"
"NEW아이비학원","시설전체","서울특별시","강북구","학교교과교습학원                                                                                            ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 776-29","서울특별시 강북구청","37.62406359","127.0183224","2026-02-10","","2026-06-07 10:57:02.0"
"비욘드잉글리쉬(BEYOND ENGLISH)학원","시설전체","서울특별시","강북구","학교교과교습학원                                                                                            ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 776-29","서울특별시 강북구청","37.62406359","127.0183224","2026-02-10","","2026-06-07 10:57:02.0"
"태선문태권도체육관","시설전체","서울특별시","강북구","체육도장업                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 776-29","서울특별시 강북구청","37.62406359","127.0183224","2026-02-10","","2026-06-07 10:57:02.0"
"동해루","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","50000","02-901-7682","","서울특별시 강북구 미아동 776-33","서울특별시 강북구청","37.62435152","127.0183381","2026-02-10","","2026-06-07 10:57:02.0"
"배스킨라빈스 삼양시장점","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 776-33","서울특별시 강북구청","37.62435152","127.0183381","2026-02-10","","2026-06-07 10:57:02.0"
"서울삼성본치과의원","시설전체","서울특별시","강북구","치과의원                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 776-33","서울특별시 강북구청","37.62435152","127.0183381","2026-02-10","","2026-06-07 10:57:02.0"
"에덴음악학원","시설전체","서울특별시","강북구","학교교과교습학원                                                                                            ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 776-84","서울특별시 강북구청","37.62354049","127.0182613","2026-02-10","","2026-06-07 10:57:02.0"
"365메디의원","시설전체","서울특별시","강북구","의원                                                                                                  ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-18","서울특별시 강북구청","37.62511543","127.0180367","2026-02-10","","2026-06-07 10:57:02.0"
"삼양시장 파리바게뜨","시설전체","서울특별시","강북구","제과점영업                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-18","서울특별시 강북구청","37.62511543","127.0180367","2026-02-10","","2026-06-07 10:57:02.0"
"연세뉴욕치과의원","시설전체","서울특별시","강북구","치과의원                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-18","서울특별시 강북구청","37.62511543","127.0180367","2026-02-10","","2026-06-07 10:57:02.0"
"우리가족한의원","시설전체","서울특별시","강북구","한의원                                                                                                 ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-18","서울특별시 강북구청","37.62511543","127.0180367","2026-02-10","","2026-06-07 10:57:02.0"
"이경원정형외과의원","시설전체","서울특별시","강북구","의원                                                                                                  ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-18","서울특별시 강북구청","37.62511543","127.0180367","2026-02-10","","2026-06-07 10:57:02.0"
"최강서울안과의원","시설전체","서울특별시","강북구","의원                                                                                                  ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-18","서울특별시 강북구청","37.62511543","127.0180367","2026-02-10","","2026-06-07 10:57:02.0"
"햇살아이의원","시설전체","서울특별시","강북구","의원                                                                                                  ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-18","서울특별시 강북구청","37.62511543","127.0180367","2026-02-10","","2026-06-07 10:57:02.0"
"GS25 삼양오거리점","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-5","서울특별시 강북구청","37.62562372","127.0184832","2026-02-10","","2026-06-07 10:57:02.0"
"감자골","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"뉴에이스 당구클럽","시설전체","서울특별시","강북구","당구장업                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-6","서울특별시 강북구청","37.62542693","127.0186557","2026-02-10","","2026-06-07 10:57:02.0"
"시청앞(02128)","버스정류소 승차대로부터 10m이내","서울특별시","중구","가로변버스정류소                                                                                            ","국민건강증진법제9조제7항, 서울특별시 중구 금연환경 조성 및 간접흡연 피해방지 조례","","100000","02-3396-5673","서울특별시 중구 세종대로 66","","서울특별시 중구청","37.56214468","126.9766544","2026-04-15","","2026-06-07 10:57:02.0"
"씨유 미아솔매로점","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-2486","서울특별시 강북구청","37.62543521","127.0163999","2026-02-10","","2026-06-07 10:57:02.0"
"돌식당","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-3023","서울특별시 강북구청","37.6219125","127.0153601","2026-02-10","","2026-06-07 10:57:02.0"
"미건빌라","시설전체","서울특별시","강북구","연면적1000㎡ 복합건축물                                                                                      ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-3347","서울특별시 강북구청","37.62436872","127.0127675","2026-02-10","","2026-06-07 10:57:02.0"
"밥풀릭스(미아점)","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-347","서울특별시 강북구청","37.62758598","127.0182422","2026-02-10","","2026-06-07 10:57:02.0"
"구립행복어린이집","시설전체","서울특별시","강북구","어린이집                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-3784","서울특별시 강북구청","37.62545137","127.0118582","2026-02-10","","2026-06-07 10:57:02.0"
"방아간마차","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-435","서울특별시 강북구청","37.62788595","127.0207306","2026-02-10","","2026-06-07 10:57:02.0"
"구립삼양어린이집","시설전체","서울특별시","강북구","어린이집                                                                                                ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-469","서울특별시 강북구청","37.62768211","127.0200535","2026-02-10","","2026-06-07 10:57:02.0"
"돌판삼겹살","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-683","서울특별시 강북구청","37.62518069","127.021559","2026-02-10","","2026-06-07 10:57:02.0"
"부쳐샵(미아점)","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-683","서울특별시 강북구청","37.62518069","127.021559","2026-02-10","","2026-06-07 10:57:02.0"
"양곳간","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-683","서울특별시 강북구청","37.62518069","127.021559","2026-02-10","","2026-06-07 10:57:02.0"
"옵티멈존피씨카페 미아점","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-683","서울특별시 강북구청","37.62518069","127.021559","2026-02-10","","2026-06-07 10:57:02.0"
"옵티멈존피씨카페 미아점(주)","시설전체","서울특별시","강북구","인터넷컴퓨터게임제공업                                                                                         ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-683","서울특별시 강북구청","37.62518069","127.021559","2026-02-10","","2026-06-07 10:57:02.0"
"인형뽑기방","시설전체","서울특별시","강북구","청소년게임제공업                                                                                            ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-683","서울특별시 강북구청","37.62518069","127.021559","2026-02-10","","2026-06-07 10:57:02.0"
"호남식당","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-683","서울특별시 강북구청","37.62518069","127.021559","2026-02-10","","2026-06-07 10:57:02.0"
"홍어회전문","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-683","서울특별시 강북구청","37.62518069","127.021559","2026-02-10","","2026-06-07 10:57:02.0"
"디오 카페(cafe)","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-686","서울특별시 강북구청","37.62511556","127.0213107","2026-02-10","","2026-06-07 10:57:02.0"
"황궁찜닭","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-719","서울특별시 강북구청","37.62599311","127.0209041","2026-02-10","","2026-06-07 10:57:02.0"
"현대정형외과의원","시설전체","서울특별시","강북구","의원                                                                                                  ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-940","서울특별시 강북구청","37.62616061","127.0180343","2026-02-10","","2026-06-07 10:57:02.0"
"맛나","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-947","서울특별시 강북구청","37.62640245","127.0178612","2026-02-10","","2026-06-07 10:57:02.0"
"BHC 치킨 (삼양사거리점)","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-957","서울특별시 강북구청","37.62673674","127.0179701","2026-02-10","","2026-06-07 10:57:02.0"
"GS25삼양역점","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 791-957","서울특별시 강북구청","37.62673674","127.0179701","2026-02-10","","2026-06-07 10:57:02.0"
"통큰아구다찜2","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 777-9","서울특별시 강북구청","37.62572292","127.0184932","2026-02-10","","2026-06-07 10:57:02.0"
